4/30	（以下、すべて日本時間）11:08:00	インドネシア・ジャカルタの「ホテル・インドネシア・ケンピンスキー・ジャカルタ」で元日本留学生による表敬（～11:29）
	9:54	参議院議長応接室入る
	9:57	同室出る　参議院本会議場入る
	10:01	参議院本会議　開会
	12:04	参議院本会議　散会　参議院本会議場出る
	12:06	国会発
	12:08	官邸着
	12:09	ビオンテックのカタリン・カリコ上級副社長、アメリカのドリュー・ワイスマン ペンシルベニア大学教授らの表敬
	13:23	官邸発
	13:25	国会着
	13:26	衆議院第15理事会室入る
	13:35	同室出る　衆議院第16委員室入る　衆議院厚生労働委員会出席
	14:56	衆議院厚生労働委員会途中退席
	14:57	国会発
	14:59	官邸着
	16:05	外務省の森健良事務次官　入る
	16:25	松野博一官房長官、木原官房副長官、磯崎官房副長官、栗生俊一官房副長官、村田隆内閣危機管理監、秋葉剛男国家安全保障局長、瀧澤裕昭内閣情報官、外務省の宇山秀樹欧州局長、防衛省の増田和夫防衛政策局長　加わる
	16:40	神田真人財務官　資源エネルギー庁の保坂伸長官　加わる
	16:48	全員出る
	16:49	小野寺五典元防衛大臣（～17:22）
	17:23	秋葉国家安全保障局長、瀧澤内閣情報官（～17:38)
	17:39	瀧澤内閣情報官（～17:49)
	18:03	官邸発
	18:10	東京　平河町の「都市センターホテル」着
	18:12	宴会場「コスモスホール」で自民党森山派パーティーに出席しあいさつ
	18:20	同所発
	18:32	東京　六本木の「ステーキハウスハマ六本木本店」着　金子恭之総務大臣、田村憲久前厚生労働大臣、木原官房副長官と会食	〇
	20:54	同所発
	21:03	公邸着
4/14	9:50	公邸発
	9:52	官邸着
	10:35	福嶌香代子駐バルバドス大使、礒正人駐クロアチア大使、山野内勘二駐カナダ大使、上薗英樹駐マリ大使、西牧久雄駐ナミビア大使、三輪芳明駐ソロモン諸島大使、藤村和広駐フィンランド大使と面会(～10:46)
	11:27	自民党の福田達夫総務会長と面会(～11:52)
	13:47	官邸発
	13:54	東京・丸の内のパレスホテル東京着　宴会場「葵」で「公益財団法人イオン環境財団　設立30周年感謝の会」に出席し、あいさつ
	14:15	同所発
	14:25	国会着　ATM=現金自動預け払い機を利用
	14:29	国会発
	14:31	官邸着
	14:32	自民党の高市早苗政調会長、同党経済成長戦略本部の小里泰弘本部長らから原油価格・物価高騰対策に関する提言書受け取り(～14:54)
	15:00	自民党宇宙・海洋開発特別委員会の新藤義孝委員長らから安全保障における宇宙利用に関する提言書受け取り(～15:15)
	15:16	自民党の佐藤正久外交部会長、衛藤征士郎外交政調会長らから国連改革に関する提言書受け取り(～15:30)
	15:31	自民党の新藤義孝政調会長代理と面会(～15:35)
	15:36	秋葉剛男国家安全保障局長と面会(～15:49)
	15:53	後藤茂之厚生労働大臣、山際大志郎経済再生担当大臣、磯崎仁彦官房副長官、栗生俊一官房副長官、藤井健志官房副長官補、森昌文首相補佐官、内閣官房新型コロナウイルス等感染症対策推進室の迫井正深室長、文部科学省の増子宏高等教育局長、厚生労働省の吉田学事務次官と面会(～16:22)
	16:23	公明党の石井啓一幹事長、竹内譲政調会長らから経済対策に関する提言書受け取り(～16:40)
	16:44	自民党の茂木敏充幹事長と面会(～17:10)
	17:11	自民党の高市政調会長と面会(～17:33)
	17:34	自民党の遠藤利明選挙対策委員長と面会(～17:46)
	18:05	官邸発
	18:11	東京・紀尾井町のホテルニューオータニ着　宴会場「鶴の間」で自民党麻生派のパーティーに出席し、あいさつ
	18:34	同所発
	18:44	東京・虎ノ門のホテル「The Okura Tokyo」着　宴会場「平安の間」で楽天グループ創業25周年記念レセプションに出席し、あいさつ
	19:01	同所発
	19:06	公邸着
4/13	8:17	徒歩で公邸発
	8:18	官邸着
