3/10	17:12	東京・千代田区の日本武道館着　昭恵夫人とともにシンガーソングライターの松任谷由実さんのコンサートを鑑賞	
3/10	20:53	松任谷さんら出演者に挨拶、写真撮影（～20:55）	
3/10	20:58	日本武道館発	
3/10	21:14	私邸着
3/9	7:07	東京・富ヶ谷の私邸発	
3/9	7:28	ＪＲ東京駅着	
3/9	7:36	ＪＲ東京駅発（はやぶさ３号） 渡辺復興大臣が同行	
3/9	9:52	ＪＲ盛岡駅着	
3/9	9:55	ＪＲ盛岡駅発	
3/9	11:42	岩手県釜石市の三陸沿岸道路・東北横断自動車道の開通式典会場着 式典に出席し、式辞を述べる。岩手県の達増知事らとテープカットを行い開通を祝う	
3/9	11:55	釜石市の式典会場発	
3/9	12:04	今月２３日から三陸鉄道リアス線として開通する釜石駅着	
3/9	12:14	釜石駅発 今月２３日に開通する区間を走る訓練運転の列車に試乗し、復興状況を視察	
3/9	12:29	釜石市の三陸鉄道リアス線の鵜住居駅着 関係者と写真撮影	
3/9	12:36	鵜住居駅発	
3/9	12:43	釜石市の旅館「宝来館」着 昼食を取る	昼食
3/9	13:10	「宝来館」発	
3/9	13:16	釜石市の「釜石鵜住居復興スタジアム」着 釜石市の野田武則市長からスタジアムの説明を受けたあと、地元の子どもたちでつくるラグビーチームと交流	
3/9	13:37	「釜石鵜住居復興スタジアム」発	
3/9	14:34	岩手県大船渡市の商業施設「キャッセン大船渡」着 老舗菓子店でまんじゅうを購入。震災で亡くなった人を追悼するキャンドルナイトのろうそく立てに文字などを記入	
3/9	14:59	「キャッセン大船渡」発	
3/9	15:15	岩手県陸前高田市の交流施設「りくカフェ」着 施設を運営する女性らと懇談したあと、ヨガを体験	
3/9	15:44	記者団に対し「被災者の心のケアなどにしっかりと取り組んでいかなければならない。今後も被災地の声に耳を傾け復興につなげていきたい」と述べる（～14:47）	
3/9	15:48	「りくカフェ」発	
3/9	17:14	ＪＲ一ノ関駅着	
3/9	17:16	駅の貴賓室で渡辺復興大臣、鈴木前東京オリンピック・パラリンピック担当大臣らと休憩（～17:45）	
3/9	17:48	ＪＲ一ノ関駅発（はやぶさ１１２号）	
3/9	19:55	ＪＲ東京駅着	
3/9	19:59	ＪＲ東京駅発	
3/9	20:21	私邸着
3/8	7:53	東京・富ヶ谷の私邸発	
3/8	8:07	官邸着	
3/8	8:12	復興推進会議・原子力災害対策本部会議合同会合に出席（～8:29）	
3/8	8:34	閣議（～8:44）	
3/8	8:45	総合科学技術・イノベーション会議の民間議員の任命式（～8:50）	
3/8	9:15	野上官房副長官と打ち合わせ（～9:49）	
3/8	10:01	官邸発	
3/8	10:03	国会着	
3/8	10:04	参議院議長応接室に入る	
3/8	10:16	議長応接室を出て参議院本会議場に入る	
3/8	12:20	参議院本会議が散会し、本会議場を出る	
3/8	12:22	国会発	
3/8	12:24	官邸着	
3/8	13:52	河北新報、福島民友、福島民報、岩手日報による取材（～14:09）	
3/8	14:33	官邸発	
3/8	15:03	神奈川県川崎市の撮影スタジオ「アバコさぎ沼スタジオ」着　自民党の広報用動画の撮影	
3/8	15:40	「アバコさぎ沼スタジオ」発	
3/8	16:18	官邸着	
3/8	18:09	パラオのレメンゲサウ大統領を迎え、儀仗隊による栄誉礼・儀仗（～18:14）	
3/8	18:17	レメンゲサウ大統領と首脳会談（～18:51）	
3/8	18:55	署名式、共同記者発表（～19:07)	
3/8	19:08	官邸発	
3/8	19:09	公邸着　レメンゲサウ大統領と夕食会	◎
3/8	20:18	レメンゲサウ大統領を見送り	
3/8	20:25	公邸発	
3/8	20:44	私邸着
3/7	9:39	公邸発	
3/7	9:41	官邸着	
